

|21:50:50| (good_girl) jo a lelkem azert vagyok good_girl

(15:33)shiruko:	my darling
(15:34)Evita:	:)
(15:34)	Evia has changed his/her personal message to "ne tar"
(15:35)shiruko:	mer szmajlizol te LO
(15:35)Evita:	ahhh hogy a helyes azal a tartasal...ne tartsd vagy ne tarcsd?
(15:35)Evita:	igen igen en mindig szmajlizok:)
(15:35)shiruko:	mar a multkor is kerdezted ezt
(15:35)shiruko:	akkor is megmondtam h hol nezd meg
(15:35)Evita:	de mar nem tom
(15:35)Evita:	:(
(15:36)shiruko:	ha nem jut eszedbe az azert lehet mert az agyad helyen egy szita van
(15:36)Evita:	lehet
(15:36)shiruko:	nem lehet hanem biztos
(15:36)Evita:	csak az marad az agyamban ami tenyleg fontos...a tobbi meg leszurokik a szitan
(15:36)shiruko:	de ez persze nem baj!
(15:36)shiruko:	mi fontos akkor telleg?
(15:36)shiruko:	meselj
(15:37)Evita:	nem vagyok en meselos kedvemben most...
(15:37)shiruko:	nah mit tortent
(15:37)Evita:	mond csak szepen lecci melyik a helyes
(15:37)Evita:	hat az hogy szar a msnm:/
(15:37)shiruko:	miert szar
(15:37)shiruko:	tartani tartsd
(15:37)Evita:	mert nem bukok ra arra a verziora a melyik volt
(15:37)shiruko:	http://www.google.com/search?q=tartsd&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:hu-HU:official&client=firefox-a
(15:37)Evita:	ezt nem szeretem:/
(15:38)shiruko:	akkor huje maracc
(15:38)shiruko:	ez ilyen
(15:38)shiruko:	=^.^=
(15:38)Evita:	igen igen
(15:38)Evita:	nem vitazok tobbet az idosebekel igazat adok nekik:D
(15:38)shiruko:	ahahhaha
(15:38)shiruko:	de ez nem kor kerdese
(15:39)shiruko:	jossz magyarorszagra?
(15:39)Evita:	jo akkor agysejtek kerdese...kinek mennyi jutot a joistentol nah:DDD
(15:39)Evita:	hat most a kozeli jovoben nem
(15:40)	Evia has changed his/her personal message to "ne tartsd magad tavol azoktol akik szeretnek"
(15:40)shiruko:	ahahahahaha
(15:40)shiruko:	mernem
(15:40)Evita:	hat mert nem tervezem
(15:40)Evita:	azert
(15:41)shiruko:	ahahah
(15:41)shiruko:	dehat nem hivott a clon?
(15:41)Evita:	ahahahha
(15:41)Evita:	nem
(15:41)shiruko:	:(
(15:41)shiruko:	tetszettek a kepek (http://exy.hu/good_girl/ a szerk.)
(15:41)shiruko:	remeltem h lesz tobb
(15:41)Evita:	ahahahaha
(15:42)Evita:	nem lesznek....
(15:42)shiruko:	aaaaa
(15:42)shiruko:	pedig tetszel
(15:42)Evita:	vagy nah lehet hogy meg tartogat valamit...remeli hogy utalni fogom...:DD
(15:42)shiruko:	ahaha de te nem utalod
(15:43)Evita:	ez nem egy modszer hogy megutaljam
(15:43)shiruko:	mondjuk ahogy kivettem o nem rajongott az otletert h te gyere
(15:43)Evita:	hova mennyek? hoza????
(15:43)shiruko:	aha
